row,measurementunitname,concept_id,concept_name
1,"mg/dl	",8840,milligram per deciliter (mg/dL)
2,"U/L	",8645,unit per liter ([U]/L)
3,"mMol/L	",8753,millimole per liter (mmol/L)
4,"g/dl	",8713,gram per deciliter (g/dL)
5,"ге	",8554,percent (%)
6,"X10й°/ul	",8848,thousand per microliter (10*3/uL)
7,"б┐10й°/зб	",8848,thousand per microliter (10*3/uL)
8,"ng/ml	",8842,nanogram per milliliter (ng/mL)
9,"X10*6/ul	",8815,million per microliter (10*6/uL)
10,"X10й°/зб	",8848,thousand per microliter (10*3/uL)
11,"sec	",8555,second (s)
12,"mm/hr	",8752,millimeter per hour (mm/h)
13,"U/ml	",8763,unit per milliliter ([U]/mL)
14,"ng/dl	",8817,nanogram per deciliter (ng/dL)
15,"X10*6/зб	",8815,million per microliter (10*6/uL)
16,"mEq/L	",9557,milliequivalent per liter (10*-3.eq/L)
17,"uIU/mL	",9093,micro-international unit per milliliter (10*-6.[iU]/mL)
18,"/ul	",8647,per microliter (/uL)
19,"ug/L	",8748,microgram per liter (ug/L)
20,"mIu/ml	",9550,milli-international unit per milliliter (10*-3.[iU]/mL)
21,"kU/L	",8810,kilounit per liter (10*3.[U]/L)
22,"pg/mL	",8845,picogram per milliliter (pg/mL)
23,"E.U/dl	",8829,Ehrlich unit per deciliter ([EU]/dL)
24,"uMol/L	",8749,micromole per liter (umol/L)
25,"ug/dl	",8837,microgram per deciliter (ug/dL)
26,"IU/ml	",8985,international unit per milliliter ([iU]/mL)
27,"ug/mL	",8859,microgram per milliliter (ug/mL)
28,"mOsm/kg	",8862,milliosmole per kilogram (mosm/kg)
29,"mg/L	",8751,milligram per liter (mg/L)
30,"ml/min/1.73mйў	",9117,milliliter per minute per 1.73 square meter (mL/min/1.73.m2)
31,nMBCE/mM Cr,9114,nanomole of bone collagen equivalent per millimole of creatinine (nmol{BColl}eq/mmol{creat})
32,"IU/L	",8923,international unit per liter ([iU]/L)
33,"nMol/L	",8736,nanomole per liter (nmol/L)
34,"uU/ml	",8860,microunit per milliliter (10*-6.[U]/mL)
35,"mm	",8588,millimeter (mm)
36,"ml/min	",8795,milliliter per minute (mL/min)
37,"nMBCE/mMcre	",9114,nanomole of bone collagen equivalent per millimole of creatinine (nmol{BColl}eq/mmol{creat})
38,"ulU/ml	",9093,micro-international unit per milliliter (10*-6.[iU]/mL)
39,"ug/min	",8774,microgram per minute (ug/min)
40,"/зб	",8647,per microliter (/uL)
41,"mIU/L	",9040,milli-international unit per liter (10*-3.[iU]/L)
